date,platform_type,visits,pageviews,uvs
9/21/2020,mobile,3770313,5566419,2895662
9/22/2020,mobile,5252855,7724800,4978542
9/23/2020,mobile,3516354,4865924,2847912
9/24/2020,mobile,2729100,3947747,1535267
9/25/2020,mobile,2827612,4403999,1646332
9/26/2020,mobile,2486492,3810203,1940434
9/27/2020,mobile,2743157,4018984,1558943
9/28/2020,mobile,2900131,4104922,1860543
9/29/2020,mobile,2593320,3856543,1568073
9/30/2020,mobile,2482509,3636243,1145680
10/1/2020,mobile,2441008,3531439,1457349
10/2/2020,mobile,3343466,4748197,2987525
10/3/2020,mobile,3650298,5157352,2749042
10/4/2020,mobile,3910759,5507937,2547499
10/5/2020,mobile,3865491,5388058,2144676
10/6/2020,mobile,3792801,5273581,2645043
10/7/2020,mobile,3091902,4388096,2421589
10/8/2020,mobile,3118236,4576698,2457373
10/9/2020,mobile,3324453,4832148,2467043
10/10/2020,mobile,3979490,5720023,214465
10/11/2020,mobile,4083970,6272623,395042
10/12/2020,mobile,5182649,7903765,467838
10/13/2020,mobile,5125244,7367656,465789
10/14/2020,mobile,3601822,5392319,231890
